source,img_idx,model,noise_idx,mse_t1,mse_t11,mse_t21,mse_t31,mse_t41,mse_t51,mse_t61,mse_t71,mse_t81,mse_t91,mse_t101,mse_t111,mse_t121,mse_t131,mse_t141,mse_t151,mse_t161,mse_t171,mse_t181,mse_t191,mse_t201,mse_t211,mse_t221,mse_t231,mse_t241
SD1.3,4,SD1.4,6,0.8764648438,0.6308593750,0.5336914062,0.4738769531,0.4328613281,0.4003906250,0.3740234375,0.3515625000,0.3322753906,0.3159179688,0.3012695312,0.2880859375,0.2758789062,0.2653808594,0.2553710938,0.2460937500,0.2374267578,0.2294921875,0.2219238281,0.2144775391,0.2075195312,0.2008056641,0.1948242188,0.1887207031,0.1831054688
SD1.3,4,SD1.4,7,0.8691406250,0.6259765625,0.5292968750,0.4697265625,0.4289550781,0.3969726562,0.3710937500,0.3498535156,0.3315429688,0.3161621094,0.3022460938,0.2893066406,0.2775878906,0.2673339844,0.2573242188,0.2480468750,0.2393798828,0.2313232422,0.2236328125,0.2161865234,0.2091064453,0.2022705078,0.1960449219,0.1896972656,0.1838378906
SD1.3,4,SD1.4,8,0.8867187500,0.6401367188,0.5415039062,0.4802246094,0.4377441406,0.4042968750,0.3769531250,0.3540039062,0.3344726562,0.3176269531,0.3027343750,0.2890625000,0.2768554688,0.2658691406,0.2556152344,0.2462158203,0.2374267578,0.2293701172,0.2219238281,0.2147216797,0.2080078125,0.2015380859,0.1956787109,0.1896972656,0.1840820312
SD1.3,4,SD1.4,9,0.8774414062,0.6303710938,0.5317382812,0.4714355469,0.4304199219,0.3984375000,0.3725585938,0.3505859375,0.3320312500,0.3164062500,0.3022460938,0.2893066406,0.2773437500,0.2668457031,0.2568359375,0.2474365234,0.2386474609,0.2304687500,0.2226562500,0.2152099609,0.2081298828,0.2012939453,0.1951904297,0.1890869141,0.1833496094
SD1.3,4,SD1.4,10,0.8945312500,0.6469726562,0.5483398438,0.4873046875,0.4455566406,0.4133300781,0.3869628906,0.3647460938,0.3452148438,0.3286132812,0.3137207031,0.3000488281,0.2875976562,0.2766113281,0.2663574219,0.2568359375,0.2481689453,0.2398681641,0.2320556641,0.2242431641,0.2169189453,0.2097167969,0.2032470703,0.1965332031,0.1900634766
SD1.3,4,SD1.4,11,0.8569335938,0.6162109375,0.5224609375,0.4643554688,0.4248046875,0.3935546875,0.3681640625,0.3466796875,0.3283691406,0.3125000000,0.2983398438,0.2854003906,0.2736816406,0.2636718750,0.2541503906,0.2456054688,0.2375488281,0.2299804688,0.2227783203,0.2155761719,0.2086181641,0.2019042969,0.1956787109,0.1892089844,0.1832275391
SD1.3,4,SD1.4,12,0.8764648438,0.6372070312,0.5424804688,0.4833984375,0.4421386719,0.4091796875,0.3820800781,0.3596191406,0.3405761719,0.3244628906,0.3103027344,0.2973632812,0.2854003906,0.2749023438,0.2648925781,0.2558593750,0.2473144531,0.2392578125,0.2318115234,0.2242431641,0.2169189453,0.2097167969,0.2032470703,0.1965332031,0.1901855469
SD1.3,4,SD1.4,13,0.8750000000,0.6308593750,0.5332031250,0.4721679688,0.4304199219,0.3977050781,0.3713378906,0.3491210938,0.3305664062,0.3154296875,0.3020019531,0.2900390625,0.2790527344,0.2695312500,0.2602539062,0.2514648438,0.2430419922,0.2351074219,0.2276611328,0.2202148438,0.2131347656,0.2062988281,0.1999511719,0.1934814453,0.1873779297
SD1.3,4,SD1.4,14,0.8691406250,0.6201171875,0.5234375000,0.4636230469,0.4226074219,0.3913574219,0.3662109375,0.3454589844,0.3276367188,0.3125000000,0.2995605469,0.2875976562,0.2766113281,0.2668457031,0.2575683594,0.2487792969,0.2406005859,0.2330322266,0.2261962891,0.2193603516,0.2127685547,0.2061767578,0.2000732422,0.1937255859,0.1877441406
SD1.3,4,SD1.4,15,0.8637695312,0.6210937500,0.5239257812,0.4641113281,0.4235839844,0.3923339844,0.3669433594,0.3457031250,0.3276367188,0.3125000000,0.2988281250,0.2861328125,0.2749023438,0.2646484375,0.2551269531,0.2464599609,0.2381591797,0.2304687500,0.2232666016,0.2161865234,0.2094726562,0.2031250000,0.1972656250,0.1912841797,0.1854248047
SD1.3,4,SD1.4,16,0.8803710938,0.6333007812,0.5366210938,0.4768066406,0.4360351562,0.4045410156,0.3791503906,0.3579101562,0.3395996094,0.3244628906,0.3105468750,0.2980957031,0.2866210938,0.2761230469,0.2658691406,0.2561035156,0.2469482422,0.2381591797,0.2298583984,0.2215576172,0.2138671875,0.2062988281,0.1995849609,0.1927490234,0.1864013672
SD1.3,4,SD1.4,17,0.8872070312,0.6484375000,0.5522460938,0.4914550781,0.4494628906,0.4165039062,0.3894042969,0.3666992188,0.3469238281,0.3303222656,0.3151855469,0.3015136719,0.2890625000,0.2780761719,0.2675781250,0.2583007812,0.2495117188,0.2413330078,0.2336425781,0.2261962891,0.2189941406,0.2120361328,0.2056884766,0.1992187500,0.1931152344
SD1.3,4,SD1.4,18,0.8618164062,0.6220703125,0.5273437500,0.4689941406,0.4291992188,0.3984375000,0.3732910156,0.3518066406,0.3332519531,0.3173828125,0.3032226562,0.2905273438,0.2788085938,0.2685546875,0.2587890625,0.2498779297,0.2416992188,0.2341308594,0.2270507812,0.2200927734,0.2133789062,0.2069091797,0.2009277344,0.1948242188,0.1889648438
SD1.3,4,SD1.4,19,0.8886718750,0.6342773438,0.5375976562,0.4787597656,0.4389648438,0.4077148438,0.3818359375,0.3598632812,0.3410644531,0.3249511719,0.3105468750,0.2978515625,0.2861328125,0.2756347656,0.2656250000,0.2565917969,0.2480468750,0.2399902344,0.2325439453,0.2252197266,0.2181396484,0.2115478516,0.2054443359,0.1994628906,0.1937255859
SD1.3,4,SD1.4,20,0.8710937500,0.6328125000,0.5385742188,0.4799804688,0.4399414062,0.4089355469,0.3833007812,0.3615722656,0.3430175781,0.3271484375,0.3129882812,0.3000488281,0.2883300781,0.2778320312,0.2680664062,0.2587890625,0.2500000000,0.2418212891,0.2341308594,0.2265625000,0.2194824219,0.2124023438,0.2060546875,0.1994628906,0.1931152344
SD1.3,4,SD1.4,21,0.8686523438,0.6308593750,0.5356445312,0.4760742188,0.4353027344,0.4035644531,0.3771972656,0.3552246094,0.3361816406,0.3200683594,0.3056640625,0.2924804688,0.2802734375,0.2695312500,0.2592773438,0.2498779297,0.2409667969,0.2325439453,0.2247314453,0.2170410156,0.2097167969,0.2027587891,0.1964111328,0.1900634766,0.1840820312
SD1.3,4,SD1.4,22,0.8691406250,0.6342773438,0.5395507812,0.4807128906,0.4399414062,0.4074707031,0.3811035156,0.3591308594,0.3400878906,0.3242187500,0.3095703125,0.2963867188,0.2836914062,0.2727050781,0.2619628906,0.2519531250,0.2426757812,0.2340087891,0.2260742188,0.2183837891,0.2110595703,0.2042236328,0.1981201172,0.1920166016,0.1864013672
SD1.3,4,SD1.4,23,0.8891601562,0.6406250000,0.5419921875,0.4824218750,0.4421386719,0.4106445312,0.3847656250,0.3627929688,0.3437500000,0.3273925781,0.3125000000,0.2993164062,0.2871093750,0.2763671875,0.2661132812,0.2565917969,0.2475585938,0.2390136719,0.2309570312,0.2230224609,0.2154541016,0.2081298828,0.2015380859,0.1948242188,0.1884765625
SD1.3,4,SD1.4,24,0.8847656250,0.6430664062,0.5463867188,0.4860839844,0.4450683594,0.4130859375,0.3869628906,0.3647460938,0.3457031250,0.3295898438,0.3149414062,0.3015136719,0.2893066406,0.2783203125,0.2680664062,0.2585449219,0.2496337891,0.2413330078,0.2336425781,0.2263183594,0.2192382812,0.2125244141,0.2062988281,0.2000732422,0.1942138672
